pitcher_name,team_abb,season,era,fip,xfip,k_per_9,bb_per_9,k_pct,bb_pct,whip,ip,hr_per_9,gb_pct,lob_pct,war,fangraphs_id
Jose Berrios,TOR,2024,3.6,4.72,4.25,7.16,2.53,0.195,0.069,1.15,192.1,1.45,0.43200000000000005,0.8140000000000001,1.1,14168
Jose Quintana,NYM,2024,3.75,4.56,4.44,7.13,3.33,0.188,0.08800000000000001,1.25,170.1,1.16,0.474,0.782,1.1,11423
Charlie Morton,ATL,2024,4.19,4.46,3.99,9.09,3.54,0.23800000000000002,0.09300000000000001,1.32,165.1,1.25,0.46299999999999997,0.742,1.1,4676
Derek Law,WSN,2024,2.6,3.32,3.54,7.6,2.4,0.20800000000000002,0.066,1.18,90.0,0.7,0.485,0.782,1.1,13133
Yu Darvish,SDP,2024,3.31,4.08,3.99,8.6,2.42,0.23600000000000002,0.066,1.07,81.2,1.32,0.387,0.792,1.1,13074
Edwin Diaz,NYM,2024,3.52,3.02,2.59,14.09,3.35,0.389,0.09300000000000001,1.04,53.2,1.17,0.44,0.732,1.1,14710
Cooper Criswell,BOS,2024,4.08,4.15,4.43,6.61,2.81,0.172,0.073,1.35,99.1,0.91,0.503,0.701,1.1,24975
Alex Vesia,LAD,2024,1.76,3.45,4.09,11.8,4.48,0.331,0.125,0.99,66.1,0.95,0.221,0.8390000000000001,1.1,25007
Ryan Weathers,MIA,2024,3.63,4.11,4.03,8.31,2.49,0.218,0.065,1.18,86.2,1.14,0.466,0.753,1.1,23796
Aroldis Chapman,PIT,2024,3.79,3.04,3.14,14.3,5.69,0.37,0.147,1.35,61.2,0.73,0.44799999999999995,0.6920000000000001,1.1,10233
Jonathan Cannon,CHW,2024,4.49,4.65,4.62,6.59,2.9,0.174,0.077,1.33,124.1,1.3,0.381,0.723,1.1,31730
Chris Paddack,MIN,2024,4.99,4.19,4.09,8.05,2.14,0.20600000000000002,0.055,1.39,88.1,1.43,0.373,0.7090000000000001,1.1,20099
Carlos Estevez,- - -,2024,2.45,3.24,4.09,8.18,1.96,0.23600000000000002,0.057,0.91,55.0,0.82,0.32899999999999996,0.75,1.1,14542
Shane Baz,TBR,2024,3.06,4.07,4.39,7.83,3.06,0.21600000000000003,0.085,1.06,79.1,1.02,0.39299999999999996,0.7959999999999999,1.1,22264
Aaron Bummer,ATL,2024,3.58,2.23,2.52,11.22,2.93,0.28300000000000003,0.07400000000000001,1.43,55.1,0.33,0.597,0.7290000000000001,1.1,16258
John Schreiber,KCR,2024,3.66,3.03,4.21,8.01,3.48,0.205,0.08900000000000001,1.32,51.2,0.17,0.513,0.6940000000000001,1.1,20020
Mark Leiter Jr.,- - -,2024,4.5,3.29,2.75,13.34,3.41,0.336,0.086,1.33,58.0,1.24,0.45799999999999996,0.669,1.1,15551
Adrian Morejon,SDP,2024,2.83,2.79,3.33,10.04,2.97,0.261,0.077,1.32,63.2,0.57,0.514,0.768,1.1,20039
Tanner Banks,- - -,2024,3.98,3.25,3.59,9.71,3.11,0.251,0.08,1.3,72.1,0.75,0.498,0.632,1.1,16990
David Festa,MIN,2024,4.9,3.76,3.58,10.77,3.22,0.278,0.083,1.32,64.1,1.26,0.36200000000000004,0.685,1.1,30056
Ross Stripling,OAK,2024,6.01,3.89,4.74,5.17,2.32,0.129,0.057999999999999996,1.54,85.1,0.74,0.392,0.5479999999999999,1.1,13273
Yariel Rodriguez,TOR,2024,4.47,4.34,4.42,8.83,4.15,0.231,0.109,1.32,86.2,1.14,0.374,0.6990000000000001,1.1,33838
Andrew Abbott,CIN,2024,3.72,5.04,4.91,7.43,3.39,0.195,0.08900000000000001,1.3,138.0,1.63,0.337,0.8290000000000001,1.0,29911
Bowden Francis,TOR,2024,3.3,4.36,4.17,7.99,1.91,0.225,0.054000000000000006,0.93,103.2,1.48,0.34299999999999997,0.7829999999999999,1.0,20548
Blake Treinen,LAD,2024,1.93,3.0,3.06,10.8,2.12,0.304,0.06,0.94,46.2,0.96,0.447,0.897,1.0,12572
Jose Butto,NYM,2024,2.55,3.83,4.2,9.61,4.62,0.26899999999999996,0.129,1.07,74.0,0.73,0.415,0.833,1.0,23313
Luke Weaver,NYY,2024,2.89,3.33,3.42,11.04,2.79,0.311,0.079,0.93,84.0,1.07,0.364,0.794,1.0,16918
Javier Assad,CHC,2024,3.73,4.64,4.61,7.59,3.86,0.19399999999999998,0.099,1.4,147.0,1.22,0.436,0.8029999999999999,1.0,21741
Tim Herrin,CLE,2024,1.92,2.86,3.64,9.32,3.43,0.265,0.09699999999999999,0.97,65.2,0.27,0.49700000000000005,0.785,1.0,25139
Trevor Megill,MIL,2024,2.72,3.1,3.87,9.71,2.72,0.273,0.077,1.01,46.1,0.78,0.33299999999999996,0.755,1.0,17722
Drew Rasmussen,TBR,2024,2.83,1.35,2.57,10.99,1.88,0.302,0.052000000000000005,1.08,28.2,0.0,0.5329999999999999,0.677,1.0,25385
Marcus Stroman,NYY,2024,4.31,4.62,4.5,6.58,3.49,0.16699999999999998,0.08900000000000001,1.47,154.2,1.11,0.49200000000000005,0.7390000000000001,0.9,13431
Jared Koenig,MIL,2024,2.47,3.28,3.95,9.15,3.34,0.23800000000000002,0.087,1.24,62.0,0.58,0.465,0.782,0.9,27517
Robert Suarez,SDP,2024,2.77,3.49,3.81,8.17,2.22,0.22899999999999998,0.062,1.05,65.0,0.97,0.418,0.8079999999999999,0.9,30115
Reed Garrett,NYM,2024,3.77,3.31,3.16,13.03,4.71,0.336,0.121,1.4,57.1,0.94,0.44299999999999995,0.7340000000000001,0.9,16866
Josh Hader,HOU,2024,3.8,3.5,2.93,13.31,3.17,0.37799999999999995,0.09,0.96,71.0,1.52,0.303,0.69,0.9,14212
Aaron Civale,- - -,2024,4.36,4.74,4.31,8.33,2.91,0.21600000000000003,0.075,1.3,161.0,1.62,0.35600000000000004,0.764,0.9,19479
Ryan Thompson,ARI,2024,3.26,3.3,3.35,7.06,2.04,0.191,0.055,1.19,66.1,0.68,0.614,0.74,0.9,16647
Luis L. Ortiz,PIT,2024,3.32,4.25,4.59,7.1,2.79,0.192,0.076,1.11,135.2,1.06,0.397,0.7559999999999999,0.9,27646
Evan Phillips,LAD,2024,3.62,3.28,3.48,10.37,2.8,0.276,0.075,1.19,54.2,0.99,0.397,0.625,0.9,17734
Anthony Bender,MIA,2024,4.08,2.92,3.36,10.02,3.06,0.259,0.079,1.28,53.0,0.51,0.5,0.693,0.9,19742
Hoby Milner,MIL,2024,4.73,3.14,3.15,8.91,1.95,0.239,0.052000000000000005,1.19,64.2,0.84,0.519,0.581,0.9,13346
Kyle Freeland,COL,2024,5.24,4.9,4.38,6.75,2.06,0.17300000000000001,0.053,1.41,113.1,1.75,0.402,0.6759999999999999,0.9,16256
Porter Hodge,CHC,2024,1.88,2.75,3.41,10.88,3.98,0.317,0.11599999999999999,0.88,43.0,0.42,0.413,0.8009999999999999,0.9,26413
Bryan Abreu,HOU,2024,3.1,3.49,3.48,11.83,3.68,0.317,0.098,1.16,78.1,1.03,0.40399999999999997,0.8290000000000001,0.9,16609
Chris Martin,BOS,2024,3.45,2.78,2.61,10.15,0.61,0.278,0.017,1.13,44.1,1.02,0.46299999999999997,0.674,0.9,11847
Joe Ross,MIL,2024,3.77,3.83,4.5,8.03,3.53,0.20600000000000002,0.09,1.36,74.0,0.85,0.41,0.727,0.9,12972
