game_date,home_team,away_team,home_win_prob,ml_pred,actual_win,ml_correct,predicted_total,actual_total,ou_error,home_covers_prob,rl_pred,actual_rl,rl_correct
2024-04-07,CHC,LAD,0.5233,1,1,1,8.11,9.0,-0.89,0.3125,0,1,0
2024-04-07,STL,MIA,0.5233,1,0,0,9.08,13.0,-3.92,0.3529,0,0,1
2024-04-07,MIL,SEA,0.4947,0,1,0,9.87,16.0,-6.13,0.3469,0,1,0
2024-04-07,KC,CWS,0.3077,0,1,0,8.34,8.0,0.34,0.2941,0,1,0
2024-04-07,NYY,TOR,0.5364,1,1,1,7.95,11.0,-3.05,0.3295,0,1,0
2024-04-07,CIN,NYM,0.3657,0,0,1,8.09,4.0,4.09,0.2453,0,0,1
2024-04-07,ATL,AZ,0.4667,0,1,0,7.31,7.0,0.31,0.3125,0,1,0
2024-04-07,WSH,PHI,0.4947,0,1,0,8.1,5.0,3.1,0.3125,0,0,1
2024-04-07,PIT,BAL,0.4211,0,1,0,10.07,5.0,5.07,0.2453,0,0,1
2024-04-07,TEX,HOU,0.0084,0,0,1,9.0,4.0,5.0,0.2151,0,0,1
2024-04-07,DET,OAK,0.6842,1,0,0,9.28,8.0,1.28,0.5315,1,0,0
2024-04-08,TEX,HOU,0.3657,0,0,1,9.31,15.0,-5.69,0.2453,0,0,1
2024-04-08,COL,AZ,0.3657,0,1,0,13.12,12.0,1.12,0.3295,0,1,0
2024-04-08,STL,PHI,0.3657,0,0,1,9.0,8.0,1.0,0.3295,0,0,1
2024-04-08,SD,CHC,0.4667,0,1,0,6.97,17.0,-10.03,0.3295,0,0,1
2024-04-08,SF,WSH,0.3077,0,0,1,6.06,9.0,-2.94,0.2453,0,0,1
2024-04-08,LAA,TB,0.4947,0,1,0,8.64,8.0,0.64,0.2941,0,1,0
2024-04-08,MIN,LAD,0.5364,1,0,0,8.48,6.0,2.48,0.3469,0,0,1
2024-04-08,CLE,CWS,0.3115,0,1,0,10.2,4.0,6.2,0.1356,0,1,0
2024-04-08,TOR,SEA,0.4947,0,1,0,8.66,7.0,1.66,0.2941,0,1,0
2024-04-08,CIN,MIL,0.5233,1,1,1,7.02,18.0,-10.98,0.2941,0,1,0
2024-04-08,PIT,DET,0.3657,0,1,0,8.91,11.0,-2.09,0.2453,0,1,0
2024-04-08,NYY,MIA,0.5364,1,1,1,8.97,7.0,1.97,0.5315,1,1,1
2024-04-08,ATL,NYM,0.4947,0,0,1,10.38,15.0,-4.62,0.2453,0,0,1
2024-04-09,SD,CHC,0.5233,1,0,0,7.4,6.0,1.4,0.3295,0,0,1
2024-04-09,SF,WSH,0.6842,1,0,0,9.41,8.0,1.41,0.5315,1,0,0
2024-04-09,LAA,TB,0.4667,0,0,1,9.19,10.0,-0.81,0.3125,0,0,1
2024-04-09,COL,AZ,0.4947,0,0,1,11.33,5.0,6.33,0.2941,0,0,1
2024-04-09,TEX,OAK,0.5814,1,0,0,8.71,7.0,1.71,0.3295,0,0,1
2024-04-09,STL,PHI,0.4667,0,1,0,6.73,3.0,3.73,0.2453,0,1,0
2024-04-09,MIN,LAD,0.3657,0,0,1,10.59,9.0,1.59,0.2453,0,0,1
2024-04-09,KC,HOU,0.4947,0,1,0,7.91,7.0,0.91,0.5315,1,0,0
2024-04-09,ATL,NYM,0.5814,1,1,1,9.27,11.0,-1.73,0.3295,0,0,1
2024-04-09,TOR,SEA,0.3657,0,1,0,9.7,8.0,1.7,0.2453,0,1,0
2024-04-09,NYY,MIA,0.5364,1,1,1,8.39,5.0,3.39,0.3295,0,0,1
2024-04-09,CIN,MIL,0.4667,0,0,1,9.31,14.0,-4.69,0.2941,0,0,1
