team_abb,statcast_xwoba,statcast_barrel_pct,statcast_hard_hit_pct,statcast_avg_ev,statcast_n_batted,statcast_avg_la,period_start,type
KC,0.38796478723727584,0.078003120124805,0.3962558502340094,88.39531981279251,641,11.502340093603744,2023-05-21,batting
LAA,0.4085863313655372,0.09985528219971057,0.42547033285094066,90.24992764109984,691,14.301013024602026,2023-05-21,batting
LAD,0.40037073241452276,0.08076358296622614,0.4419970631424376,89.80895741556535,681,15.972099853157122,2023-05-21,batting
MIA,0.3714029418365713,0.05026455026455026,0.35714285714285715,87.9931216931217,756,10.38471673254282,2023-05-21,batting
MIL,0.3633058305631086,0.08099688473520249,0.40342679127725856,88.96028037383178,642,12.686915887850468,2023-05-21,batting
MIN,0.4061408402025185,0.08717105263157894,0.40460526315789475,88.04934210526316,608,12.306557377049181,2023-05-21,batting
NYM,0.39159944810939706,0.07692307692307693,0.44992743105950656,90.63512336719884,689,12.429608127721336,2023-05-21,batting
NYY,0.38084525315475326,0.08507223113964688,0.4301765650080257,89.59711075441413,623,11.0,2023-05-21,batting
PHI,0.4109718937255913,0.08531468531468532,0.4195804195804196,89.76615384615386,715,13.775139664804469,2023-05-21,batting
PIT,0.35271766997267007,0.06110283159463487,0.40536512667660207,88.44128166915051,671,12.86478454680535,2023-05-21,batting
SD,0.3753894337978331,0.0804093567251462,0.38742690058479534,88.19722222222222,684,13.197368421052632,2023-05-21,batting
SEA,0.38028306852343147,0.08237232289950576,0.4316309719934102,89.25469522240527,607,15.965403624382208,2023-05-21,batting
SF,0.39661674800926316,0.08333333333333333,0.39919354838709675,87.83897849462365,744,14.626344086021506,2023-05-21,batting
STL,0.39033186443259166,0.08259587020648967,0.45132743362831856,90.50398230088496,678,16.179675994108983,2023-05-21,batting
TB,0.35820400648735823,0.05211267605633803,0.38028169014084506,88.9018309859155,710,12.966197183098592,2023-05-21,batting
TEX,0.40656781689084454,0.09020618556701031,0.43041237113402064,90.10708762886598,776,14.170103092783505,2023-05-21,batting
TOR,0.3815742697439609,0.06979695431472081,0.4302030456852792,89.33743654822334,788,10.131645569620254,2023-05-21,batting
WSH,0.34912288860164764,0.06648575305291723,0.36906377204884666,88.24667571234735,737,11.567164179104477,2023-05-21,batting
ATH,0.3597340993411731,0.06509695290858726,0.40166204986149584,89.11952908587259,722,16.332409972299168,2023-05-21,pitching
ATL,0.38353448228438836,0.07482014388489208,0.4014388489208633,89.60546762589928,695,13.732758620689655,2023-05-21,pitching
AZ,0.3857675803053238,0.08244680851063829,0.39361702127659576,89.07220744680852,752,12.711436170212766,2023-05-21,pitching
BAL,0.40050051011574717,0.07578008915304606,0.3937592867756315,88.99197622585439,673,12.337295690936108,2023-05-21,pitching
BOS,0.3558599964994105,0.07112375533428165,0.37695590327169276,88.23954480796586,703,11.623044096728307,2023-05-21,pitching
CHC,0.37101668851683867,0.0729312762973352,0.38429172510518933,88.1577840112202,713,13.993006993006993,2023-05-21,pitching
CIN,0.39169913019935015,0.08365508365508366,0.42857142857142855,89.4039897039897,777,16.63063063063063,2023-05-21,pitching
CLE,0.36558961730947326,0.06703146374829001,0.399452804377565,89.07797537619699,731,12.113543091655266,2023-05-21,pitching
COL,0.40326347283146813,0.08382526564344746,0.4155844155844156,89.28547815820544,847,11.170588235294117,2023-05-21,pitching
CWS,0.37853925786013437,0.07957957957957958,0.4159159159159159,89.29324324324325,666,13.273273273273274,2023-05-21,pitching
DET,0.377955562668575,0.07472826086956522,0.43342391304347827,89.9069293478261,736,13.177989130434783,2023-05-21,pitching
HOU,0.37133464416659373,0.07516778523489932,0.3959731543624161,88.868322147651,745,10.981258366800535,2023-05-21,pitching
KC,0.3695057068422011,0.07692307692307693,0.3757396449704142,88.45014792899408,676,14.180473372781066,2023-05-21,pitching
LAA,0.3763506661316436,0.06392045454545454,0.3849431818181818,88.33480113636364,704,14.499290780141845,2023-05-21,pitching
LAD,0.3975990289080234,0.07840236686390532,0.41863905325443784,89.73180473372781,676,12.19645494830133,2023-05-21,pitching
MIA,0.3511969059758028,0.0672782874617737,0.382262996941896,88.34816513761467,654,9.364885496183206,2023-05-21,pitching
MIL,0.3667655309576208,0.06415620641562064,0.37656903765690375,88.1305439330544,717,12.87168758716876,2023-05-21,pitching
MIN,0.36109456592444533,0.07012622720897616,0.3899018232819074,88.64431977559607,713,14.730715287517532,2023-05-21,pitching
NYM,0.37818476436786097,0.07225433526011561,0.4407514450867052,89.7893063583815,692,13.341040462427745,2023-05-21,pitching
NYY,0.36954526087997197,0.07244094488188976,0.41732283464566927,88.86787401574803,635,13.039370078740157,2023-05-21,pitching
PHI,0.3650970115700552,0.07244318181818182,0.4133522727272727,88.6875,704,12.815340909090908,2023-05-21,pitching
PIT,0.391107460299058,0.08157524613220815,0.42616033755274263,88.7379746835443,711,12.179775280898877,2023-05-21,pitching
SD,0.35349196756800777,0.06172839506172839,0.3487654320987654,86.93256172839507,648,11.444444444444445,2023-05-21,pitching
SEA,0.38505593141106403,0.07763975155279502,0.40993788819875776,88.76242236024845,644,11.762790697674419,2023-05-21,pitching
SF,0.35589429022238156,0.060431654676258995,0.37410071942446044,88.02057553956836,695,8.376978417266187,2023-05-21,pitching
STL,0.3688799594703325,0.06720430107526881,0.3629032258064516,88.29448924731183,744,12.806451612903226,2023-05-21,pitching
TB,0.39615546228701065,0.08096590909090909,0.43607954545454547,88.75539772727274,704,11.188652482269504,2023-05-21,pitching
TEX,0.3686496216868965,0.075177304964539,0.4269503546099291,89.54992907801417,705,12.475247524752476,2023-05-21,pitching
TOR,0.3961496089669119,0.07756232686980609,0.4168975069252078,88.88448753462603,722,13.544321329639889,2023-05-21,pitching
WSH,0.4122266688356388,0.090014064697609,0.4008438818565401,89.30239099859352,711,13.642756680731365,2023-05-21,pitching
ATH,0.32207640178702746,0.05723905723905724,0.31986531986531985,86.26464646464646,594,13.112794612794612,2023-06-21,batting
ATL,0.414326522426933,0.0991869918699187,0.4764227642276423,91.83739837398375,615,12.998373983739837,2023-06-21,batting
AZ,0.35176602435990467,0.05747126436781609,0.3645320197044335,87.71937602627257,609,11.164203612479474,2023-06-21,batting
BAL,0.36076999431666235,0.05055292259083728,0.41232227488151657,89.09510268562401,633,13.764612954186413,2023-06-21,batting
BOS,0.3699221721576897,0.06525285481239804,0.36867862969004894,88.36916802610115,613,12.553745928338762,2023-06-21,batting
CHC,0.35619808277688986,0.05582137161084529,0.36363636363636365,88.75071770334928,627,11.720893141945773,2023-06-21,batting
CIN,0.38608873602826155,0.05872756933115824,0.3800978792822186,88.12283849918434,613,12.471451876019575,2023-06-21,batting
CLE,0.3641028688538942,0.05160390516039052,0.3319386331938633,87.19986052998605,717,12.186889818688982,2023-06-21,batting
COL,0.37965040462259797,0.07505070993914807,0.3975659229208925,87.97018255578094,493,12.058823529411764,2023-06-21,batting
CWS,0.3681112149146706,0.06229508196721312,0.3770491803278688,88.14377049180328,610,11.237704918032787,2023-06-21,batting
DET,0.3591706512158568,0.06698564593301436,0.4082934609250399,88.92551834130782,627,14.279106858054227,2023-06-21,batting
HOU,0.3856933586686717,0.08208955223880597,0.40298507462686567,88.4665671641791,670,13.419402985074626,2023-06-21,batting
KC,0.3695547274124976,0.06230529595015576,0.3925233644859813,89.01417445482866,642,9.841860465116278,2023-06-21,batting
LAA,0.4069451587001375,0.10251798561151079,0.38489208633093525,88.04892086330935,556,13.73967684021544,2023-06-21,batting
LAD,0.3963993496571602,0.09001636661211129,0.3993453355155483,88.67037643207856,611,15.99836333878887,2023-06-21,batting
MIA,0.37446339445301896,0.05142857142857143,0.4157142857142857,89.07328571428572,700,8.461428571428572,2023-06-21,batting
MIL,0.367883915546382,0.05826771653543307,0.3700787401574803,88.55055118110236,635,11.79212598425197,2023-06-21,batting
MIN,0.400200246563485,0.09884678747940692,0.42174629324546953,88.9822075782537,607,14.179276315789474,2023-06-21,batting
NYM,0.36784977003867364,0.0905982905982906,0.39487179487179486,89.06957264957265,585,13.24102564102564,2023-06-21,batting
NYY,0.3643493179147177,0.06847133757961783,0.3980891719745223,88.74713375796178,628,13.023885350318471,2023-06-21,batting
PHI,0.3771762234438782,0.06430868167202572,0.4115755627009646,89.1467845659164,622,12.345659163987138,2023-06-21,batting
PIT,0.3540947036302618,0.05016722408026756,0.38127090301003347,87.91973244147157,598,10.030050083472455,2023-06-21,batting
SD,0.36962386008987524,0.08270676691729323,0.43609022556390975,89.44796992481203,665,13.12912912912913,2023-06-21,batting
